Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
Happiness IPA,4.0,4.5,4.0,4.25,,IPA,Superflux Beer Co.,A bold yet balanced west-coast inspired IPA,Slightly too much sweetness on the finish,An aromatic and delicious west-coast IPA with a balanced aroma and good bitterness that will please any fan of the style,7.0%,,473,2017-Jul-24,Nemanishen,"7.0% - 7.9%, ABV, Brewery Regions, Greater Vancouver Breweries, IPA, Reviews, Top BC Beers, Types Of Beer","ipa, review, Superflux Beer Company","Superflux Beer Company is currently brewing out of Strathcona Beer Co. so a visit to the latter brewery gives the opportunity to pick up some of the much-hyped cans from the former.  Happiness pours from the 473mL can a slightly hazy golden colour with one finger of lasting off-white head that leaves behind plenty of lacing in the glass.  The aroma is rather balanced with notes of pine, citrus and floral hops, merging with some tropical fruit and a bit of grainy malt character.  In the mouth Happiness offers flavours of caramel, resin, tropical fruit, and citrus, along with a slight dried fruit sweetness near the end.  This medium-bodied IPA presents a balanced yet strong bitter finish that lingers well after your last sip.",http://beermebc.com/2017/07/24/superflux-beer-co-happiness-ipa/
Vienna Amber Lager,4.3,4.0,4.2,4.2,,Lager,Hoyne Brewing Co.,A big flavoured lager with mellow sweetness and a rich toasted character,Quite flavourful compared to many other lagers,A big flavoured lager with a nice toasted character,5.3%,,650,2017-Jul-19,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Hoyne Brewing Co., Lager, Top BC Beers, Types Of Beer, Vancouver Island Breweries","hoyne brewing, lager","Hoyne Brewing has come up with an Amber Lager called Vienna. This Euro style lager is a rich copper colour and has nearly three fingers of head which settles slowly leaving no lacing behind on the glass. The aroma is rich with a roasted, caramel tone to it and subtle euro style hop character. Tasting the beer it is quite rich with a strong toasted character that leads into a mellow sweetness. The toasted notes linger into the finish leaving a mellow sweetness and richness behind on the palate. This is a very well crafted, enjoyable lager that has a bit more in the flavour category than you may expect.",http://beermebc.com/2017/07/19/hoyne-brewing-co-vienna-amber-lager/
Carte Blanche White IPA,4.0,4.1,4.2,3.8,,White India Pale Ale,Hoyne Brewing Co.,A well balanced White IPA with big tropical fruit character,Not as bitter as you may like in an IPA,"A balanced, lightly bitter White IPA with big fruit flavour",6.0%,,650,2017-Jul-05,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Hoyne Brewing Co., IPA, Top BC Beers, Types Of Beer, Vancouver Island Breweries, White IPA","hoyne brewing co, white ipa","Hoyne Brewing doesn t release a ton of new seasonals but when they do it is something to keep an eye out for. The Carte Blanche is a White IPA. As part of the  Young Lions  series of beers where Sean Hoyne s younger brewers have been given  Carte Blanche  to try out new ideas. This beer pours from the bomber bottle a hazy golden colour with two fingers of lacing head. The aroma is tropical with hop tones of peach, passion fruit, melon and grapefruit along with a wheat character. The bitterness on the nose is quite mellow. Tasting the beer it has a big and wheaty mouthfeel that leads into a lightly sweet, tropical fruit mid section. The melon, passionfruit and grapefruit tones come out in force. This leads into a mellow bitter finish along side a lingering fruit character and wheat, off-dry mouthfeel. White IPAs can be hit or miss but this is a tasty, enjoyable and refreshing IPA.",http://beermebc.com/2017/07/05/hoyne-brewing-co-carte-blanche-white-ipa/
EST. 1867 Pale Ale,4.3,4.0,4.5,4.0,,Pale Ale,Trading Post Brewing Co.,"Sessionable, balanced and very tasty",Nothing stands out in the beer,"A very refreshing and sessionable, classically styled Pale Ale",5.0%,18,500,2017-Jun-19,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Pale Ale, Top BC Beers, Trading Post Brewing, Types Of Beer","canada 150, pale ale, Trading Post Brewing","In Celebration of Canada s 150th birthday Trading Post Brewing has created their EST. 1867 Pale Ale. This Beer comes in 500ml bottles and is a partnership between Trading Post and the Fort Langley National Historic Site. Pouring this beer from the stubby bottle it is a rich golden colour and is topped with two full fingers of lacing head. The aroma is of biscuit, light toasted sweetness and a subtle citrus and earthy hop character. Tasting the beer it is a no-nonsense pale ale. Both mellow and flavourful the malt base is smooth and light with a touch of creaminess. The sweetness is balanced with a subtle and sessionable hop character. As far as Pale Ales go this is extremely sessionable, easy drinking and flavourful with a sense of pride that comes with it for being from the true north (strong and free).",http://beermebc.com/2017/06/19/trading-post-brewing-co-est-1867-pale-ale/
150 Heritage Ale,4.2,4.0,4.5,3.9,,Maple,Lighthouse Brewing Co.,A very authentic and rich maple flavour,Maple is very sweet,A delicious maple flaovur that is nothing less than that of a Quebecois winter. ,6.3%,,650,2017-Jun-11,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Lighthouse Brewing Co., Strong Ale, Top BC Beers, Types Of Beer, Vancouver Island Breweries","Canada150, lighthouse brewing, maple","In lighthouse Brewing s Explorer Series the 150 Heritage Ale was brewed to commemorate Canada s 150th birthday. Lighthouse has chosen to focus this beer around the fact that Canada has the longest coastline of any country and relies on the lighthouse to keep ships safe. Also, taking a maple twist on the flavour this beer is a truly Canadian brew. Pouring from the bomber bottle this beer has a rich colour of amber brown and is topped with two thick fingers of head which leave light lacing behind on the glass. The aroma is sweet with a strong maple flavour and a hint of smoke. Together the aroma is almost whisky like without the booziness in a rich and truly Canadian way. The flavour it toasted and dark with an almost oaky character. The maple is no Aunt Jemima but rather the real, Quebecois-candy type that is rich, dark and delicious. Along side the smoke tones and an almost molasses character this is a very unique and very tasty beer. It may be a bit sweet for some but if you are looking for authentic maple flavour, it doesn t get any more real than this.",http://beermebc.com/2017/06/11/lighthouse-brewing-co-150-heritage-ale/
Black Pils,3.5,4.25,4.0,4.5,,"Dark Lager, Pilsner",Hearthstone Brewery,Impressive take on the dark lager style that adds some creaminess for a bit of an unexpected twist,More lasting head would help enrich the delicious malt and wheat aromas,"A delicious dark lager that adds a subtle twist while remaining crisp, clean, and flavourful",5.0%,23,355,2017-May-28,Nemanishen,"5.0% - 5.9%, ABV, Brewery Regions, Dark lager, Greater Vancouver Breweries, Hearthstone Brewery, Pilsner, Reviews, Saaz Hops, Top BC Beers, Types Of Beer, Types of Hops","black lager, black pilsner, hearthstone Brewery, pilsner, review","Hearthstone Brewery in North Vancouver took their classic Pilsner and darkened it a few shades.  The Black Pils pours a clear dark brown colour with one finger of light brown head that leaves behind some lacing in the glass.  The beer offers a clean aroma that joins with toasted bread, roasted malts, grass and wheat.  Flavours of roasted malts couple with a slight fruity note, some grassy notes and flavours of coffee and cereal grains.  The Black Pils begins with a slightly creamy texture but finishes crisp, clean and dry.",http://beermebc.com/2017/05/28/hearthstone-brewery-black-pils/
Strange Resemblance Wild Saison,4.1,3.9,4.3,3.9,,Saison,Strange Fellows Brewing,A lightly sour and lightly sweet wild saison,Tartness takes charge over classic saison tones,A balanced wild saison with nice tartness and fruit-sweetness,6.2%,,750,2017-May-19,dustansept,"6.0% - 6.9%, ABV, Brettanomyces, Brewery Regions, Greater Vancouver Breweries, Saison, Strange Fellows Brewing Co., Top BC Beers, Types Of Beer","saison, strange Fellows, wild","Vancouver s Strange Fellows Brewing has released a Wild Saison called the Strange Resemblance. This beer comes in at 6.2% and was fermented using wild yeast. Pouring from the 750ml bottle the beer is lightly clouded and golden-straw in colour. Topped with nearly two fingers of dense and lacing head the aroma is of lemon peel, leeche and pineapple in a sweet and lightly tart manner. Tasting the beer it has a tartness to it that builds into the pineapple and leeche tones and finishes with a citrus zest. The wild yeast in this character has given some sourness to the brew and a slight funk at the back of the mouth. This beer is a nicely balanced wild saison with unique tropical fruit character.",http://beermebc.com/2017/05/19/strange-fellows-brewing-strange-resemblance-wild-saison/
Suncoast Pale Ale,4.0,4.2,4.4,4.0,,Pale Ale,Townsite Brewing Inc.,"Smooth, balanced and easy drinking",Not the flavour punch that many BC Pale Ales are,A classic and very enjoyable Pale Ale,5.2%,,650,2017-Apr-29,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Pale Ale, Top BC Beers, Townsite Brewing Inc., Types Of Beer","pale ale, townsite brewing","A local favourite brew that took a long time to make it into bottles, the Suncoast Pale Ale has been a brewery staple since early on in the Townsite days.  This Pale Ale is now available in bomber bottles and brings local flavour to the masses of BC craft beer drinkers. Pouring the beer it is light copper in colour and has two fingers of dense and lightly lacing head. The aroma is malty with a toasted character along with a light caramel sweetness. Earthy hop character also comes through with strength adding a bitterness and light pine tone into the mix. The flavour is surprisingly light given the malt character on the nose. This makes for a sessionable yet flavourful beer. The malt tones work with the hop character and a mid body to produce a balanced, smooth and delicious Pale Ale. The Suncoast is not meant to reinvent the wheel of flavour but rather be a classic beer that can be enjoyed by all. In that frame, Towsite Brewing has hit their mark!",http://beermebc.com/2017/04/29/townsite-brewing-inc-suncoast-pale-ale/
Barrel Aged Maple Porter,4.1,4.4,3.8,3.9,,"Barrel Aged, Porter",Fernie Brewing Co.,A subtle and very enjoyable oak aged character,Maple flavours are very light,"A nice oak, dried cherry and chocolate flavoured maple porter",6.4%,,650,2017-Apr-11,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Cariboo Breweries, Fernie Brewing Co., Porter, Top BC Beers, Types Of Beer","barrel aged, fernie brewing, Porter","This limited release series beer from Fernie Brewing takes their well known maple porter and has aged in Pinot Noir barrels for a total of 12 months. The result is a beer that comes in at 6.4% alcohol and is an aged twist on their staple seasonal release. From the wax dipped bottle this beer is nearly black in colour and has two fingers of dense, lacing and light brown head. The aroma is rich with toasted oak, dark cherry, molasses and maple syrup. Despite being a wine barrel that this came out of there is a light whisky tone to the aroma. Tasting the beer it is lighter bodied than expected with a creaminess to the mouthfeel. The oak character isn t overpowering and brings subtle cherry and chocolate tones to the front. The maple flavours come into play slightly later but are also quite subtle. This beer is not overpowering in any way but is rather a smooth and lightly oaked twist on a delicious maple-infused seasonal beer.",http://beermebc.com/2017/04/11/fernie-brewing-co-barrel-aged-maple-porter/
Coup de Foudre New World Wild Ale,3.6,3.9,4.2,4.3,,"Brettanomyces, Sour Ale",Strange Fellows Brewing,Complex and balanced with a both fruit-warmth and significant acidity,The innitial sour character is quite intense,A wild fermented sour ale with both acidity and a dried-fruit/oak warmth,6.0%,,750,2017-Apr-07,dustansept,"6.0% - 6.9%, ABV, Brettanomyces, Brewery Regions, Greater Vancouver Breweries, Sour, Strange Fellows Brewing Co., Top BC Beers, Types Of Beer","Brett, sour ale, strange Fellows","Strange fellows has aged the Coup de Foudre in their Oak Foudre for a whopping 16 months before releasing the beer. From the 750ml bottle this beer pours a hazy-amber colour with a thin finger of head. The aroma is tart with a plum and dark fruit character along side a Brett-earth character. The aroma is pungent but still balanced and not over the top. The flavour starts with a brightness to it from the acidity and carbonation. This initial hit builds into a deeper and more complex flavour of cherry, plum and earthy-oak character. The Brett-like earth character is also present but isn t as strong as some comparable beers. The finish has a lingering sour in the cheeks while a warmth and depth with cherry-oak notes sticks to the tongue. This beer is balanced and intense yet somewhat approachable given the complexity of the brew.",http://beermebc.com/2017/04/07/strange-fellows-brewing-coup-de-foudre-new-world-wild-ale/
